segment_id,duration_sec,bpm,key,genre,mood,time_signature,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,tempo_confidence,beat_count,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff
seg_001,12.48,83,E_minor,jazz,sad,4/4,0.6803020951477321,0.22209698961244959,0.9356971637727257,0.9010087888560545,0.17506796117355017,0.24929336481910142,1.2456763919707317,1.168893325969468,-0.03506341080911632,0.785514460206594,0.36070572245581134,-0.1864144640651307,0.7285259876844554,0.17052412368729153,0.06505159298527952,0.9488855372533332,0.9656320330745594,0.8083973481164611,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.4401524937396013,0.12203823484477883,0.4951769101112702,0.034388521115218396,0.9093204020787821,0.2587799816000169,0.662522284353982,0.31171107608941095,0.5200680211778108,0.5467102793432796,0.18485445552552704,0.8787665285083384,17,0.05212448990062096,1754.2423599454396,5319.355377291725,7712.154306899049
seg_002,12.76,94,E_minor,jazz,calm,4/4,-0.8820894786491281,1.3561202265982226,0.8579289098916427,0.14089154034005213,-0.145029730671042,0.07620043327112047,0.3469352396502628,0.4986877825610936,1.2998314597954037,0.24585379651832107,-0.5230543491370944,0.2779110442225272,0.6705622856674353,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.3109823217156622,0.32518332202674705,0.7296061783380641,0.6375574713552131,0.8872127425763265,0.4722149251619493,0.1195942459383017,0.713244787222995,0.7607850486168974,0.5612771975694962,0.770967179954561,0.49379559636439074,0.5227328293819941,0.42754101835854963,0.02541912674409519,0.10789142699330445,0.9593951182090646,19,0.09121985789594939,1493.9113642045807,2012.9322701085587,4952.108787939066
seg_003,14.49,138,D_minor,rock,energetic,4/4,0.9360825326090634,0.389838566682717,0.8533205434318136,-0.09769315737695317,0.20816753105310792,0.28860821028355,0.9668821849126997,0.16797267948943262,0.4137679644758993,0.6098520614640752,0.46465318938222777,0.675122857407408,0.1525309012652596,0.22210781047073025,0.1198653673336828,0.33761517140362796,0.9429097039125192,0.32320293202075523,0.5187906217433661,0.7030189588951778,0.363629602379294,0.9717820827209607,0.9624472949421112,0.25178229582536416,0.49724850589238545,0.30087830981676966,0.2848404943774676,0.036886947354532795,0.6095643339798968,0.5026790232288615,0.05147875124998935,0.27864646423661144,0.9488044268116658,33,0.013967808561914503,2000.6696158152645,2784.9179642102135,7898.98976914418
seg_004,9.13,136,F_major,rock,happy,4/4,0.34692348661108635,0.7391220131986767,0.47155373613854207,0.16916262554723258,-0.5435638772550021,1.1623043504457522,1.0535308781856694,0.4121038024493796,0.057399330901911516,0.9278929306659875,-0.055752740986690585,0.4677949759051266,1.7861655510074552,0.3867353463005374,0.9367299887367345,0.13752094414599325,0.3410663510502585,0.11347352124058907,0.9246936182785628,0.877339353380981,0.2579416277151556,0.659984046034179,0.8172222002012158,0.5552008115994623,0.5296505783560065,0.24185229090045168,0.09310276780589921,0.8972157579533268,0.9004180571633305,0.6331014572732679,0.3390297910487007,0.3492095746126609,0.7346025255554283,20,0.09733605499200053,1535.7034485173908,7775.2058945693325,4327.331812614843
seg_005,8.76,135,D_minor,jazz,energetic,4/4,0.5863704809677166,0.8949837417346171,0.7748793242201529,1.0224475152426657,0.31760053151109796,0.6844354519159734,0.2402110044774331,0.010540094046249615,1.1980896232541038,0.48090610383497734,0.3773588061511213,0.7213745289836753,0.40470572006345257,0.6311386259972629,0.7948113035416484,0.5026370931051921,0.5769038846263591,0.4925176938188639,0.1952429877980445,0.7224521152615053,0.2807723624408558,0.02431596643145384,0.6454722959071678,0.17711067940704894,0.9404585843529143,0.9539285770025874,0.9148643902204485,0.3701587002554444,0.015456616528867428,0.9283185625877254,0.42818414831731433,0.9666548190436696,0.9850118825329468,19,0.09022833332293934,2837.9569682852884,6315.643767655803,5523.89082412201
seg_006,13.81,150,A_minor,classical,energetic,4/4,1.2709153737991814,0.31737175872000195,-0.060407871347664344,0.4792266079535987,0.7876905483814913,0.40063871632959536,0.1864917661225196,0.8967038576047718,1.0597310084445222,0.4713118344559048,0.5882049518337018,0.5306206539101995,0.2268100300514636,0.6499639307777652,0.7019668772577033,0.795792669436101,0.8900053418175663,0.3379951568515358,0.375582952639944,0.093981939840869,0.578280140996174,0.035942273796742086,0.46559801813246016,0.5426446347075766,0.2865412521282844,0.5908332605690108,0.03050024993904943,0.03734818874921442,0.8226005606596583,0.3601906414112629,0.12706051265188478,0.5222432600548044,0.7649153919635817,34,0.05357787284914379,3173.7550032791546,7859.6421372983405,5623.184345543039
seg_007,9.98,92,G_major,jazz,sad,4/4,-0.3323011112145266,1.302447289145263,0.4707968046536375,0.8042035008846854,0.43173886436617676,-0.15250585373206277,1.2284090873337488,0.567202409323601,-0.4633446286226831,0.8078230800847761,0.3293041443335373,0.7061505643440549,0.5586049114468438,0.7378969166957685,0.5543540525114007,0.6117207462343522,0.4196000624277899,0.24773098950115746,0.3559726786512616,0.7578461104643691,0.014393488629755868,0.11607264050691624,0.04600264202175275,0.040728802318970136,0.8554605840110072,0.7036578593800237,0.4741738290873252,0.09783416065100148,0.49161587511683236,0.4734717707805657,0.17320186991001518,0.43385164923797304,0.9377885698697235,15,0.06355396335874643,3472.720903960028,7527.155173805829,5195.767243368688
seg_008,11.28,118,E_minor,rock,calm,4/4,-0.030856910191827694,1.401981233239281,0.22515955244464125,0.3554519345273871,0.4535402148495676,1.363924862975411,-0.25967818509820306,1.1271986653934147,0.9465813392863187,-0.10465168772320121,1.1922423009555496,1.0048804897427988,-0.1043173037901009,0.06936130087516545,0.10077800137742665,0.018221825651549728,0.0944429607559284,0.6830067734163568,0.07118864846022899,0.3189756302937613,0.8448753109694546,0.023271935735825866,0.8144684825889358,0.28185477477339993,0.11816482762165625,0.6967371653641506,0.628942846779884,0.877472013527053,0.7350710438038858,0.8034809303848486,0.2820345725713065,0.17743954377972282,0.9129348475300777,22,0.037967512455400164,1041.0233933981822,4447.944123739415,4123.503297278923
seg_009,13.00,94,A_minor,pop,sad,4/4,0.6936964035922426,1.200708361212933,0.37875088175208904,0.06950134313468936,1.544214424313476,-0.2044990176317814,0.5928623281754338,0.848965640833858,0.841766545323946,1.1228263141168813,1.0445453866638141,0.855200339978639,0.9459501752752291,0.32866454536991596,0.6725184560770384,0.75237452943768,0.7915790437258485,0.7896181427945539,0.09120610304869037,0.49442030470258147,0.057558760016644284,0.5495288823237355,0.441530501373377,0.8877041827582998,0.3509150125520787,0.11706701642760586,0.14299168205283586,0.7615106317174722,0.6182180633162611,0.10112267612279024,0.08410680611499743,0.70096913145912,0.9609100940086646,21,0.08867713366488775,2320.9186293120315,5155.706520845369,5284.640372371211
seg_010,13.06,132,E_minor,classical,happy,4/4,0.021855565583798593,0.23314148918496488,0.1723282443606555,-0.6052242544805901,-0.5862056404111727,0.28998819148984556,0.6393213034094997,0.7388225478961619,1.699850656949318,0.8037003911247138,0.20574282130014718,0.8590910242381159,-0.2776688437994518,0.9632225394406113,0.012154474689816341,0.969878826707639,0.04315991195057611,0.8911431136980711,0.5277011090862999,0.9929647961193003,0.07379656473539886,0.5538542844013208,0.969302535619099,0.5230978441701488,0.6293986381352625,0.6957486889846172,0.45454106476777323,0.6275580800840634,0.5843143119231002,0.901158010490989,0.04544638034145787,0.2809631895922303,0.9323105733414461,28,0.08097793788498485,2787.94490552326,3663.6490758540976,7920.140659238695
